  Max Value: 2.862516, Column: ERR2074736  Second Max Value: 1.367356, Column: ERR489161
  Max Value: 2.217671, Column: ERR2074736  Second Max Value: 1.446473, Column: SRR7755449
  Max Value: 1.426518, Column: SRR10249369  Second Max Value: 0.742023, Column: SRR12247890
  Max Value: 4.863695, Column: SRR3109718  Second Max Value: 0.626046, Column: SRR14788775
  Max Value: 12.493706, Column: SRR12545627  Second Max Value: 6.497302, Column: SRR9695021
  Max Value: 3.951864, Column: SRR3109717  Second Max Value: 1.527832, Column: SRR3109718
  Max Value: 5.329575, Column: SRR3109717  Second Max Value: 1.403651, Column: SRR3109718
  Max Value: 1.285190, Column: SRR8258963  Second Max Value: 1.183318, Column: SRR8258959
  Max Value: 8.283628, Column: SRR14839324  Second Max Value: 5.013103, Column: SRR7755504
  Max Value: 1.433837, Column: ERR2074736  Second Max Value: 1.373782, Column: ERR9578131
  Max Value: 1.384753, Column: SRR3109717  Second Max Value: 1.120058, Column: SRR3109718
  Max Value: 1.725096, Column: SRR5810022  Second Max Value: 1.438369, Column: ERR2077875
  Max Value: 3.297376, Column: SRR8258959  Second Max Value: 0.696379, Column: SRR8258963
  Max Value: 1.316278, Column: SRR109008  Second Max Value: 0.724448, Column: SRR12545626
  Max Value: 2.578038, Column: ERR2075395  Second Max Value: 0.592367, Column: SRR109010
  Max Value: 1.307051, Column: ERR2075395  Second Max Value: 0.000000, Column: ERR2074043
  Max Value: 1.589803, Column: SRR12545626  Second Max Value: 0.000000, Column: ERR2074043
  Max Value: 1.688558, Column: SRR5810022  Second Max Value: 0.344269, Column: SRR5810020
  Max Value: 2.568985, Column: SRR5810020  Second Max Value: 1.373165, Column: SRR5810021
  Max Value: 3.085854, Column: SRR5810020  Second Max Value: 2.515637, Column: SRR5810021
  Max Value: 1.940318, Column: SRR5810020  Second Max Value: 0.329989, Column: SRR5810021
  Max Value: 2.004347, Column: ERR489204  Second Max Value: 1.596461, Column: ERR489205
  Max Value: 3.832663, Column: SRR8258959  Second Max Value: 0.513813, Column: SRR7755449
  Max Value: 2.350514, Column: SRR12247888  Second Max Value: 2.280833, Column: SRR12247889
  Max Value: 1.441444, Column: ERR489161  Second Max Value: 1.380733, Column: SRR12247889
